stfgov,stflife,stfeco,stfdem,reform,education,edulevel,male,age,edulevel.1,society,polinterest,tv,religious,ideology,family,prosp,absdate,difdate,pdwrk,unempl,hswrk,Treatment,pscores,distance,weights
7,10,7,9,1,0,6,0,60,6,9,4,2,8,5,0,0,56,56,1,0,0,Treated,0.4140080383195878,0.4140080383195878,1
6,8,3,8,0,0,2,1,31,2,8,3,5,6,4,0,1,12,-12,1,0,0,Control,0.47241685720551335,0.47241685720551335,1
4,9,3,3,1,0,7,1,65,7,6,4,1,7,8,0,0,6,6,1,0,0,Treated,0.3860120151956435,0.3860120151956435,1
4,8,4,7,1,0,7,0,30,7,7,3,1,6,4,0,0,9,9,0,1,0,Treated,0.5461651996073438,0.5461651996073438,1
4,8,5,7,1,0,2,1,28,2,8,3,0,7,3,1,0,52,52,1,0,0,Treated,0.5814212420278975,0.5814212420278975,1
6,9,7,9,0,1,2,0,22,2,7,3,2,0,1,0,0,7,-7,0,0,1,Control,0.41837768262659064,0.41837768262659064,1
6,10,7,10,0,0,7,0,46,7,7,4,2,5,2,0,1,18,-18,1,0,1,Control,0.44087969431036766,0.44087969431036766,1
6,7,4,9,0,0,6,1,64,6,8,3,2,6,0,0,0,44,-44,1,0,0,Control,0.3320084529999187,0.3320084529999187,1
8,8,7,8,0,0,6,0,38,6,6,4,4,3,4,0,1,14,-14,1,0,0,Control,0.4437317011241116,0.4437317011241116,1
7,10,3,10,0,0,4,1,40,4,7,4,2,0,3,0,1,21,-21,1,0,0,Control,0.4305691045246025,0.4305691045246025,1
5,7,7,8,0,1,4,1,22,4,6,2,1,4,4,1,0,14,-14,1,0,0,Control,0.4358250350523713,0.4358250350523713,1
3,10,8,9,0,1,2,1,19,2,7,3,1,1,1,0,0,13,-13,1,0,0,Control,0.43298351311053196,0.43298351311053196,1
7,10,3,9,0,1,6,0,26,6,8,3,1,2,1,1,0,14,-14,0,0,0,Control,0.4071048000047026,0.4071048000047026,1
8,10,8,10,0,0,6,0,67,6,6,4,2,10,6,0,0,18,-18,0,0,0,Control,0.4021313941311704,0.4021313941311704,1
1,9,5,6,1,1,6,0,30,6,8,4,1,1,1,0,0,28,28,0,0,1,Treated,0.387784188074628,0.387784188074628,1
7,9,6,8,1,0,7,0,37,7,7,3,3,3,4,0,1,32,32,1,0,0,Treated,0.4533319766146842,0.4533319766146842,1
4,9,4,9,1,0,6,1,43,6,8,4,2,3,5,0,1,16,16,1,0,0,Treated,0.4340307696522215,0.4340307696522215,1
6,8,8,7,0,0,3,1,23,3,8,3,3,1,7,0,0,3,-3,1,0,1,Control,0.5181134238539999,0.5181134238539999,1
8,10,8,8,1,0,6,0,46,6,8,4,2,6,0,0,0,2,2,1,0,1,Treated,0.4447529016289972,0.4447529016289972,1
5,8,7,8,0,0,6,1,71,6,8,3,4,5,9,0,0,8,-8,0,0,1,Control,0.29917902477622116,0.29917902477622116,1
4,4,7,3,1,0,5,0,39,5,6,4,2,3,2,0,1,21,21,0,0,1,Treated,0.4728449046680255,0.4728449046680255,1
7,8,7,7,1,0,7,1,28,7,7,3,1,1,5,1,0,21,21,1,0,1,Treated,0.4978385823108425,0.4978385823108425,1
8,10,8,8,1,1,1,0,16,1,9,3,1,10,3,1,1,26,26,0,0,0,Treated,0.5528482697414437,0.5528482697414437,1
7,10,4,9,1,0,6,0,63,6,5,3,2,1,4,0,0,7,7,1,0,0,Treated,0.343957761601317,0.343957761601317,1
6,10,6,9,1,0,6,0,66,6,9,4,4,8,6,0,0,8,8,0,0,0,Treated,0.3558457464017456,0.3558457464017456,1
5,10,10,8,1,0,6,0,76,6,8,3,2,6,6,0,0,29,29,0,0,0,Treated,0.32685026222698965,0.32685026222698965,1
6,8,4,8,1,0,5,1,57,5,8,4,7,1,1,1,0,60,60,1,0,0,Treated,0.266604264927394,0.266604264927394,1
5,9,4,8,0,0,5,1,31,5,8,4,0,1,7,0,1,9,-9,1,0,1,Control,0.5289329882049758,0.5289329882049758,1
4,9,6,8,1,0,7,1,51,7,8,3,2,5,6,0,0,54,54,1,0,1,Treated,0.40264273734849687,0.40264273734849687,1
5,9,6,9,1,0,3,1,67,3,9,3,4,4,8,0,0,15,15,0,0,1,Treated,0.3208307907244716,0.3208307907244716,1
7,8,6,10,0,0,3,0,63,3,8,3,6,6,7,0,0,4,-4,0,1,1,Control,0.3376969578294472,0.3376969578294472,1
3,10,7,3,0,1,4,1,21,4,5,3,3,7,0,1,0,26,-26,1,0,0,Control,0.4160103941587194,0.4160103941587194,1
3,8,2,5,0,0,6,0,58,6,7,3,1,1,2,0,0,20,-20,1,0,0,Control,0.3735845377593268,0.3735845377593268,1
7,9,7,8,1,0,5,1,49,5,7,4,4,3,7,1,0,6,6,1,0,0,Treated,0.3856308797735242,0.3856308797735242,1
7,9,6,7,0,0,7,1,35,7,7,4,4,7,4,0,1,23,-23,1,0,0,Control,0.4554133271974908,0.4554133271974908,1
4,7,5,4,1,0,2,0,87,2,5,2,2,1,5,0,0,7,7,0,0,1,Treated,0.26498589188173344,0.26498589188173344,1
5,8,3,6,0,0,5,0,67,5,5,4,2,0,5,0,0,21,-21,0,0,1,Control,0.3354311067424244,0.3354311067424244,1
7,8,7,8,0,0,3,0,41,3,8,3,2,6,8,0,1,6,-6,1,0,1,Control,0.5164597963792041,0.5164597963792041,1
2,9,6,10,0,0,5,0,69,5,6,3,4,2,3,0,0,13,-13,0,0,1,Control,0.29400149523977936,0.29400149523977936,1
5,7,5,8,0,0,7,0,44,7,8,4,1,3,1,0,1,23,-23,1,0,0,Control,0.44883603573779374,0.44883603573779374,1
8,7,8,8,0,0,6,1,50,6,8,1,1,2,5,1,0,17,-17,1,0,0,Control,0.39256579988945084,0.39256579988945084,1
6,10,7,8,0,0,6,0,44,6,8,2,2,5,8,0,1,26,-26,1,0,0,Control,0.46931448491742744,0.46931448491742744,1
5,7,2,5,1,0,7,1,38,7,6,3,1,3,5,0,1,15,15,1,0,0,Treated,0.46507301795072103,0.46507301795072103,1
3,8,5,7,1,0,3,1,49,3,4,3,2,1,5,1,0,5,5,1,0,0,Treated,0.405880789437764,0.405880789437764,1
6,9,6,6,1,0,7,0,44,7,7,3,2,1,6,0,1,12,12,1,0,0,Treated,0.4322433748260207,0.4322433748260207,1
6,8,8,8,1,1,4,1,23,4,5,3,3,0,3,0,0,48,48,0,0,1,Treated,0.3699873766273889,0.3699873766273889,1
7,9,7,8,1,1,6,1,24,6,6,2,1,0,6,0,0,66,66,0,0,1,Treated,0.39423147180295764,0.39423147180295764,1
4,8,5,9,0,0,5,0,58,5,5,3,4,3,7,1,0,1,-1,1,0,1,Control,0.36386878256678257,0.36386878256678257,1
6,8,8,7,1,0,6,0,32,6,7,2,2,3,4,0,1,44,44,1,0,1,Treated,0.4954383434089843,0.4954383434089843,1
8,9,7,9,0,0,6,0,40,6,7,3,1,7,5,0,1,23,-23,1,0,1,Control,0.5159457864603381,0.5159457864603381,1
5,5,5,5,0,0,2,0,68,2,5,3,7,6,9,0,0,29,-29,0,0,0,Control,0.3154938518975127,0.3154938518975127,1
3,7,3,9,1,1,4,1,22,4,7,3,2,3,8,0,0,50,50,1,0,1,Treated,0.43372391764285406,0.43372391764285406,1
4,8,7,8,1,0,2,1,60,2,7,2,1,5,5,0,0,37,37,1,0,1,Treated,0.39833587561363615,0.39833587561363615,1
3,8,7,8,1,0,5,1,55,5,6,4,2,6,9,1,0,31,-31,1,0,0,Treated,0.4239940809284603,0.4239940809284603,1
0,9,3,3,0,1,6,1,25,6,7,3,1,0,8,0,1,22,-22,0,0,0,Control,0.40378694128504383,0.40378694128504383,1
4,10,3,9,1,0,5,0,41,5,7,2,1,2,2,0,1,15,15,1,0,0,Treated,0.46021268080500766,0.46021268080500766,1
4,9,6,7,1,0,7,0,47,7,8,2,2,8,9,0,1,3,3,1,0,0,Treated,0.47531631732471036,0.47531631732471036,1
6,9,6,7,0,0,7,0,46,7,9,3,2,2,5,0,1,1,-1,1,0,1,Control,0.4241560194857506,0.4241560194857506,1
3,9,7,8,1,0,7,1,58,7,8,4,3,7,8,1,0,2,2,1,0,0,Treated,0.38172849372463064,0.38172849372463064,1
4,9,9,8,0,1,4,1,21,4,8,3,2,2,9,1,1,8,-8,0,0,0,Control,0.4348262083004272,0.4348262083004272,1
6,10,8,9,1,0,3,0,57,3,10,3,0,0,2,0,0,8,8,0,0,0,Treated,0.4041595883848349,0.4041595883848349,1
